,CNTYVTD,CD,sldl309,sldl358,sldu172
286,291044,23,118,118,19
287,291045,23,118,118,19
288,291046,23,118,118,19
289,291047,23,118,118,19
290,291048,23,118,118,19
291,291049,23,118,118,19
292,291050,20,118,118,19
293,291051,20,118,118,19
294,291052,35,118,118,19
295,291053,35,118,118,19
296,291054,35,118,118,19
297,291055,20,124,124,26
298,291056,23,118,118,19
299,291057,28,118,118,21
300,291058,23,118,118,19
301,291059,23,118,118,19
302,291060,23,117,117,19
303,291061,20,117,117,19
304,291062,23,117,117,19
305,291063,23,118,118,19
306,291064,23,117,117,19
307,291065,23,118,118,19
308,291066,23,118,118,19
309,291067,23,117,117,19
310,291068,23,117,117,19
311,291069,20,117,117,19
312,291070,23,124,124,26
313,291071,23,124,124,26
314,291072,20,125,125,26
315,291073A,20,117,117,19
316,291073B,20,117,117,19
317,291074,20,119,119,26
318,291075,20,117,117,19
319,291076,23,124,124,26
320,291077,20,119,119,26
321,291078,20,119,119,26
322,291079,20,124,124,26
323,291080A,23,124,124,26
324,291080B,23,124,124,26
325,291081,23,117,117,19
326,291082,23,124,124,26
327,291083,20,124,124,19
328,291084,20,124,124,26
329,291085,20,124,124,26
330,291086,20,124,124,26
331,291087,20,124,124,26
332,291088,20,125,125,26
333,291089,23,118,118,19
334,291090,20,124,124,19
335,291091,35,119,119,19
336,291092,23,117,117,19
337,291093,20,124,124,26
338,291094,20,117,117,19
339,291095,23,117,117,19
340,291096,20,124,124,26
341,291097,20,118,118,19
342,291098,35,123,123,26
343,291099,20,124,124,26
344,291100,23,124,124,19
345,291101,23,117,117,19
346,291102,28,118,118,21
347,291103,23,117,117,19
348,291104,20,124,124,26
349,291105,23,118,118,19
350,291106,23,117,117,19
351,291107,23,118,118,21
352,291108,20,117,117,19
353,291109,20,124,124,19
354,291110,23,117,117,19
355,291111,20,124,124,26
356,291112,23,124,124,26
357,291113,20,124,124,26
358,291114,23,117,117,19
359,291115,23,118,118,19
360,291116,23,117,117,19
361,291117,35,118,118,19
362,291118,23,117,117,19
363,291119,35,119,119,26
364,291120,35,119,119,26
365,291121,20,117,117,19
366,291122A,20,117,117,19
367,291122B,20,117,117,19
368,291122C,20,117,117,19
369,291123,23,118,118,19
370,291124,23,118,118,19
371,291125A,23,117,117,19
372,291125B,23,117,117,19
373,291125C,23,117,117,19
374,291126,35,123,123,26
375,291127,20,118,118,19
376,291128,23,117,117,19
377,291129,20,117,117,19
378,291130,20,117,117,19
379,291131,20,117,117,19
380,291132,20,117,117,19
381,291133,23,117,117,19
382,291134,23,117,117,19
383,291135,23,117,117,19
384,291136,23,124,124,26
385,291137,20,117,117,19
386,291138,23,124,124,26
387,291139,23,124,124,26
388,291140,23,117,117,19
389,291141,23,117,117,19
390,291142,23,124,124,26
391,291143,20,117,117,19
392,291144A,20,117,117,19
393,291144B,20,117,117,19
394,291144C,20,117,117,19
395,291145,20,117,117,19
396,291146,23,117,117,19
397,292001,35,123,123,26
398,292002,35,123,123,26
399,292003,35,116,116,26
400,292004,35,116,116,26
401,292005,35,116,116,26
402,292006,20,116,116,26
403,292007,35,116,116,26
404,292008,35,116,116,26
405,292009,20,116,116,26
406,292010,20,123,123,26
407,292011,20,125,125,26
408,292012,20,125,125,26
409,292013,20,116,116,26
410,292014,20,116,116,26
411,292015,20,125,125,26
412,292016,20,125,125,26
413,292017,20,125,125,26
414,292018,20,123,123,26
415,292019,20,125,125,26
416,292020,20,125,125,26
417,292021,20,125,125,26
418,292022,20,125,125,26
419,292023,20,125,125,26
420,292024,20,125,125,26
421,292025,20,116,116,26
422,292026,20,116,116,26
423,292027,20,116,116,26
424,292028,20,116,116,26
425,292029,20,125,125,26
426,292030,20,125,125,26
427,292031,20,123,123,26
428,292032,20,125,125,26
429,292033,35,123,123,26
430,292034,35,123,123,26
431,292035,35,123,123,26
432,292036,20,123,123,26
433,292037,20,125,125,26
434,292038,20,123,123,26
435,292039,35,123,123,26
436,292040,20,125,125,26
437,292041,20,125,125,26
438,292042,20,125,125,26
439,292043,20,124,124,26
440,292044,20,124,124,26
441,292045,20,116,116,26
442,292046,20,116,116,26
443,292047,20,116,116,26
444,292048,20,116,116,26
445,292049,20,125,125,26
446,292050,20,125,125,26
447,292051,35,123,123,26
448,292052,20,123,123,26
449,292053,20,123,123,26
450,292054,20,123,123,26
451,292055,21,123,123,26
452,292056,20,123,123,26
453,292057,20,123,123,26
454,292058,20,123,123,26
455,292059,20,116,116,26
456,292060,20,116,116,26
457,292061,20,125,125,26
458,292062,20,123,123,26
459,292063A,23,117,117,25
460,292063B,23,117,117,25
461,292063C,23,117,117,25
462,292064,20,123,123,26
463,292065,20,117,117,19
464,292066,20,125,125,19
465,292067,20,123,123,26
466,292068,20,124,124,26
467,292069,20,125,125,26
468,292070,35,123,123,26
469,292071,35,125,125,26
470,292072,20,124,124,26
471,292073,20,123,123,26
472,292074,20,125,125,26
473,292075,35,116,116,26
474,292076,20,125,125,26
475,292077,20,125,125,26
476,292078,20,124,124,26
477,292079,35,125,125,26
478,292080,20,123,123,26
479,292081,20,116,116,26
480,292082,20,123,123,26
481,292083,20,116,116,26
482,292084,20,125,125,26
483,292085,20,123,123,26
484,292086,20,125,125,26
485,292087,20,125,125,26
486,292088,20,124,124,26
487,292089,35,125,125,26
488,292090,20,125,125,26
489,292091,20,116,116,26
490,292092,20,123,123,26
491,292093,20,117,117,19
492,292094,21,123,123,26
493,292095A,23,117,117,25
494,292095B,23,117,117,25
495,292096,20,116,116,26
496,292097,20,124,124,26
497,292098,20,124,124,26
498,292099,20,125,125,19
499,292100,20,123,123,26
500,292101,20,117,117,19
501,292102,20,124,124,26
502,292103,35,125,125,26
503,292104,35,123,123,26
504,292105,35,116,116,26
505,292106,20,124,124,26
506,292107,20,117,117,19
507,292108,20,125,125,26
508,292109,21,123,123,26
509,292110,20,123,123,26
510,292111,20,116,116,26
511,292112,20,125,125,26
512,292113,21,116,116,26
513,292114,20,123,123,26
514,292115,23,117,117,25
515,292116,21,123,123,26
516,292117,35,123,123,26
517,292118,20,119,119,26
518,292119,20,116,116,26
519,292120,23,117,117,25
520,292121,20,123,123,26
521,292122,20,116,116,26
522,292123,20,117,117,19
523,292124,20,116,116,26
524,292125,20,117,117,19
525,292126,20,125,125,26
526,292127,20,124,124,26
527,292128,20,125,125,26
528,292129,21,123,123,25
529,292130,20,125,125,26
530,292131,21,123,123,26
531,292132,21,123,123,26
532,292133,20,125,125,26
533,292134,20,116,116,26
534,292135,20,123,123,26
535,292136,20,117,117,19
536,292137,20,123,123,26
537,292138,20,123,123,26
538,292139,20,125,125,19
539,292140,20,125,125,26
540,292141,20,125,125,26
541,292142,20,116,116,26
542,292143,20,125,125,26
543,292144,20,123,123,26
544,292145,20,124,124,26
545,292146,20,123,123,26
546,292147,20,117,117,19
547,292148,20,116,116,26
548,292149,21,116,116,26
549,292150,20,123,123,25
550,292151,20,125,125,26
551,292152,35,123,123,26
552,292153,20,116,116,26
553,292154A,23,117,117,25
554,292154B,23,117,117,25
555,292155,20,123,123,26
556,292156,21,116,116,26
557,292157,20,125,125,26
558,292158,23,117,117,25
559,292159,20,125,125,26
560,292160,23,117,117,25
561,293001,21,122,122,25
562,293002,20,116,116,26
563,293003,20,125,125,26
564,293004,20,121,121,25
565,293005,23,122,122,25
566,293006,21,123,123,26
567,293007,21,121,121,25
568,293008,20,122,122,19
569,293009,20,122,122,25
570,293010,21,116,116,26
571,293011,21,123,123,26
572,293012,23,117,117,25
573,293013,21,123,123,26
574,293014,20,123,123,25
575,293015,20,116,116,26
576,293016,20,125,125,26
577,293017A,23,122,122,25
578,293017B,23,122,122,25
579,293018,21,121,121,25
580,293019,21,116,116,26
581,293020,21,121,121,25
582,293021,21,121,121,25
583,293022,21,121,121,25
584,293023,20,125,125,26
585,293024,21,123,123,26
586,293025,21,121,121,25
587,293026,21,121,121,25
588,293027,21,121,121,25
589,293028,35,121,121,25
590,293029,20,116,116,26
591,293030,23,122,122,25
592,293031,21,123,123,25
593,293032,20,125,125,26
594,293033,23,122,122,25
595,293034,23,122,122,25
596,293035,20,116,116,26
597,293036,20,116,116,19
598,293037,20,125,125,19
599,293038,20,123,123,26
600,293039,23,122,122,25
601,293040,21,121,121,25
602,293041,21,123,123,26
603,293042,23,122,122,25
604,293043,23,122,122,25
605,293044,21,122,122,25
606,293045,23,122,122,25
607,293046,21,121,121,25
608,293047,21,121,121,25
609,293048,21,121,121,25
610,293049,21,121,121,25
611,293050,21,121,121,25
612,293051,20,122,122,25
613,293052,21,122,122,25
614,293053,21,121,121,25
615,293054,20,125,125,26
616,293055,23,122,122,25
617,293056,20,116,116,26
618,293057,21,122,122,25
619,293058,20,116,116,26
620,293059,21,121,121,25
621,293060,21,121,121,25
622,293061,21,121,121,25
623,293062,21,121,121,25
624,293063,21,121,121,25
625,293064,21,123,123,25
626,293065,21,116,116,26
627,293066,21,123,123,25
628,293067,21,123,123,25
629,293068,21,123,123,25
630,293069,21,123,123,25
631,293070,23,122,122,25
632,293071,21,123,123,26
633,293072,21,121,121,25
634,293073,21,122,122,25
635,293074,20,122,122,25
636,293075,23,122,122,25
637,293076,23,122,122,25
638,293077,21,122,122,25
639,293078,21,122,122,25
640,293079,21,122,122,25
641,293080,21,121,121,25
642,293081,21,121,121,25
643,293082,21,121,121,25
644,293083,21,121,121,25
645,293084,21,121,121,25
646,293085,21,121,121,25
647,293086,21,122,122,25
648,293087,21,118,118,25
649,293088,21,121,121,25
650,293089,23,122,122,25
651,293090,21,121,121,25
652,293091,21,122,122,25
653,293092,21,122,122,25
654,293093,23,122,122,25
