district,american_indian,other,pacific_islander,total,two_or_more,white,black,asian,american_indian_pct,other_pct,pacific_islander_pct,two_or_more_pct,white_pct,black_pct,asian_pct
042,4266.0,67221.0,1716.0,498150.0,17490.0,334207.0,27543.0,45707.0,0.856,13.494,0.344,3.511,67.09,5.529,9.175
043,3214.0,109883.0,2856.0,519520.0,20119.0,182755.0,128699.0,71994.0,0.619,21.151,0.55,3.873,35.178,24.773,13.858
044,4146.0,157117.0,4449.0,487384.0,18343.0,182055.0,89989.0,31285.0,0.851,32.237,0.913,3.764,37.354,18.464,6.419
045,1930.0,32110.0,1059.0,539594.0,18009.0,363464.0,8547.0,114475.0,0.358,5.951,0.196,3.338,67.359,1.584,21.215
046,4428.0,142111.0,2061.0,500972.0,17409.0,257963.0,11533.0,65467.0,0.884,28.367,0.411,3.475,51.492,2.302,13.068
047,3769.0,73911.0,3669.0,533611.0,19711.0,276632.0,40267.0,115652.0,0.706,13.851,0.688,3.694,51.842,7.546,21.673
048,2556.0,37588.0,1627.0,554357.0,16437.0,392596.0,6032.0,97521.0,0.461,6.78,0.293,2.965,70.82,1.088,17.592
049,3857.0,47752.0,2809.0,533629.0,16780.0,411786.0,13626.0,37019.0,0.723,8.949,0.526,3.145,77.167,2.553,6.937
050,7010.0,62878.0,1704.0,522239.0,17819.0,392059.0,13049.0,27720.0,1.342,12.04,0.326,3.412,75.073,2.499,5.308
051,5653.0,135658.0,2388.0,503465.0,19792.0,255063.0,39802.0,45109.0,1.123,26.945,0.474,3.931,50.662,7.906,8.96
052,2476.0,22377.0,1829.0,564937.0,19011.0,401635.0,17216.0,100393.0,0.438,3.961,0.324,3.365,71.094,3.047,17.771
053,3895.0,59671.0,3548.0,548546.0,23626.0,341579.0,42979.0,73248.0,0.71,10.878,0.647,4.307,62.27,7.835,13.353
