district,total,two_or_more,asian,american_indian,white,pacific_islander,other,black,two_or_more_pct,asian_pct,american_indian_pct,white_pct,pacific_islander_pct,other_pct,black_pct
065,345653.0,11871.0,88529.0,2639.0,176705.0,1657.0,53654.0,10598.0,3.434,25.612,0.763,51.122,0.479,15.523,3.066
066,365069.0,12560.0,90351.0,1540.0,214826.0,1585.0,27664.0,16543.0,3.44,24.749,0.422,58.845,0.434,7.578,4.531
067,328809.0,11710.0,21666.0,2984.0,232456.0,1101.0,42407.0,16485.0,3.561,6.589,0.908,70.696,0.335,12.897,5.014
068,348844.0,11212.0,65807.0,1821.0,227496.0,853.0,35593.0,6062.0,3.214,18.864,0.522,65.214,0.245,10.203,1.738
069,324581.0,11331.0,34536.0,2992.0,160451.0,1102.0,107623.0,6546.0,3.491,10.64,0.922,49.433,0.34,33.158,2.017
070,359249.0,15391.0,46030.0,2871.0,197932.0,2502.0,56344.0,38179.0,4.284,12.813,0.799,55.096,0.696,15.684,10.627
071,350857.0,12911.0,12035.0,4469.0,275310.0,1539.0,30027.0,14566.0,3.68,3.43,1.274,78.468,0.439,8.558,4.152
072,361195.0,10286.0,116924.0,1952.0,191518.0,1542.0,35021.0,3952.0,2.848,32.371,0.54,53.023,0.427,9.696,1.094
073,346400.0,10360.0,30050.0,1584.0,281290.0,570.0,18109.0,4437.0,2.991,8.675,0.457,81.204,0.165,5.228,1.281
074,382309.0,12418.0,64075.0,1347.0,280023.0,938.0,18895.0,4613.0,3.248,16.76,0.352,73.245,0.245,4.942,1.207
075,339242.0,11330.0,24907.0,4524.0,237401.0,1050.0,51231.0,8799.0,3.34,7.342,1.334,69.98,0.31,15.102,2.594
076,355819.0,12035.0,21321.0,2900.0,267654.0,2558.0,37495.0,11856.0,3.382,5.992,0.815,75.222,0.719,10.538,3.332
077,351336.0,11882.0,81071.0,1357.0,232853.0,1282.0,13366.0,9525.0,3.382,23.075,0.386,66.276,0.365,3.804,2.711
078,399987.0,14274.0,37696.0,2353.0,303170.0,1162.0,24244.0,17088.0,3.569,9.424,0.588,75.795,0.291,6.061,4.272
079,351301.0,15160.0,66005.0,2392.0,186007.0,2776.0,42328.0,36633.0,4.315,18.789,0.681,52.948,0.79,12.049,10.428
080,335580.0,13326.0,35590.0,2982.0,167138.0,1764.0,90928.0,23852.0,3.971,10.606,0.889,49.806,0.526,27.096,7.108
